item	cond	subject	rt	region.id	correct_answer	accuracy
1	d	1m16	360	DE	N	1
1	d	1m20	578	hd2	N	1
1	d	1m20	593	head	N	1
1	d	1m20	453	FreqP	N	1
1	d	1m20	328	VN	N	1
1	d	1m20	500	Det+CL	N	1
1	d	1m20	797	hd3	N	1
1	d	1m20	407	N	N	1
1	d	1m20	469	hd1	N	1
1	d	1m20	297	V	N	1
1	d	1m20	360	DE	N	1
1	d	1m20	640	Adv	N	1
1	d	1m24	438	FreqP	Y	0
1	d	1m24	1437	V	Y	0
1	d	1m24	578	Adv	Y	0
1	d	1m24	453	DE	Y	0
1	d	1m24	391	N	Y	0
1	d	1m24	1375	hd2	Y	0
1	d	1m24	297	VN	Y	0
1	d	1m24	266	head	Y	0
1	d	1m24	485	Det+CL	Y	0
1	d	1m24	500	hd1	Y	0
1	d	1m24	672	hd3	Y	0
1	d	1m4	343	DE	N	1
1	d	1m4	344	head	N	1
1	d	1m4	500	hd3	N	1
1	d	1m4	468	Adv	N	1
1	d	1m4	343	hd2	N	1
1	d	1m4	360	hd1	N	1
1	d	1m4	500	Det+CL	N	1
1	d	1m4	422	FreqP	N	1
1	d	1m4	422	V	N	1
1	d	1m4	578	VN	N	1
1	d	1m4	438	N	N	1
1	d	1m8	1344	VN	N	1
1	d	1m8	922	Adv	N	1
1	d	1m8	1484	head	N	1
1	d	1m8	672	hd1	N	1
1	d	1m8	1500	Det+CL	N	1
1	d	1m8	578	N	N	1
1	d	1m8	1094	hd2	N	1
1	d	1m8	578	V	N	1
1	d	1m8	469	DE	N	1
1	d	1m8	672	hd3	N	1
1	d	1m8	657	FreqP	N	1
1	d	2m12	1656	Adv	N	1
1	d	2m12	297	hd2	N	1
1	d	2m12	328	FreqP	N	1
1	d	2m12	750	N	N	1
1	d	2m12	312	DE	N	1
1	d	2m12	375	hd1	N	1
1	d	2m12	1188	VN	N	1
1	d	2m12	250	Det+CL	N	1
1	d	2m12	344	head	N	1
1	d	2m12	422	V	N	1
1	d	2m12	750	hd3	N	1
1	d	2m16	188	Det+CL	N	1
1	d	2m16	250	V	N	1
1	d	2m16	531	FreqP	N	1
1	d	2m16	297	DE	N	1
1	d	2m16	140	Adv	N	1
1	d	2m16	125	VN	N	1
1	d	2m16	234	N	N	1
1	d	2m16	297	hd2	N	1
1	d	2m16	344	hd3	N	1
1	d	2m16	265	head	N	1
1	d	2m16	219	hd1	N	1
1	d	2m20	438	hd1	N	1
1	d	2m20	375	FreqP	N	1
1	d	2m20	203	V	N	1
1	d	2m20	219	N	N	1
1	d	2m20	797	hd3	N	1
1	d	2m20	344	head	N	1
1	d	2m20	203	VN	N	1
1	d	2m20	578	hd2	N	1
1	d	2m20	343	DE	N	1
1	d	2m20	234	Adv	N	1
1	d	2m20	219	Det+CL	N	1
1	d	2m4	687	VN	N	1
1	d	2m4	484	Det+CL	N	1
1	d	2m4	641	hd1	N	1
1	d	2m4	484	FreqP	N	1
1	d	2m4	1407	hd3	N	1
1	d	2m4	515	hd2	N	1
1	d	2m4	422	N	N	1
1	d	2m4	609	head	N	1
1	d	2m4	438	Adv	N	1
1	d	2m4	422	DE	N	1
1	d	2m4	516	V	N	1
1	d	2m8	453	DE	N	1
1	d	2m8	531	VN	N	1
1	d	2m8	578	Det+CL	N	1
1	d	2m8	469	N	N	1
1	d	2m8	438	hd1	N	1
1	d	2m8	563	Adv	N	1
1	d	2m8	344	hd3	N	1
1	d	2m8	484	V	N	1
1	d	2m8	422	head	N	1
1	d	2m8	406	FreqP	N	1
1	d	2m8	422	hd2	N	1
10	a	1m12	359	Adv	N	1
10	a	1m12	250	hd2	N	1
10	a	1m12	265	DE	N	1
10	a	1m12	313	VN	N	1
10	a	1m12	187	hd5	N	1
10	a	1m12	391	Det+CL	N	1
10	a	1m12	172	hd4	N	1
10	a	1m12	235	hd3	N	1
10	a	1m12	407	FreqP	N	1
10	a	1m12	312	hd1	N	1
10	a	1m12	188	head	N	1
10	a	1m16	375	hd2	N	1
10	a	1m16	360	Det+CL	N	1
10	a	1m16	391	VN	N	1
10	a	1m16	625	hd5	N	1
10	a	1m16	531	hd3	N	1
10	a	1m16	343	Adv	N	1
10	a	1m16	688	FreqP	N	1
10	a	1m16	1141	hd1	N	1
10	a	1m16	469	hd4	N	1
10	a	1m16	359	DE	N	1
10	a	1m16	328	head	N	1
10	a	1m20	359	Adv	N	1
10	a	1m20	547	head	N	1
10	a	1m20	547	DE	N	1
10	a	1m20	485	hd5	N	1
10	a	1m20	422	hd2	N	1
10	a	1m20	453	VN	N	1
10	a	1m20	391	Det+CL	N	1
10	a	1m20	359	hd4	N	1
10	a	1m20	1640	hd1	N	1
10	a	1m20	578	FreqP	N	1
10	a	1m20	344	hd3	N	1
10	a	1m24	235	head	N	1
10	a	1m24	312	DE	N	1
10	a	1m24	312	hd4	N	1
10	a	1m24	218	Adv	N	1
10	a	1m24	704	VN	N	1
10	a	1m24	422	hd2	N	1
10	a	1m24	531	hd5	N	1
10	a	1m24	328	hd3	N	1
10	a	1m24	328	hd1	N	1
10	a	1m24	328	Det+CL	N	1
10	a	1m24	1047	FreqP	N	1
10	a	1m4	391	hd2	N	1
10	a	1m4	407	Det+CL	N	1
10	a	1m4	500	VN	N	1
10	a	1m4	406	head	N	1
10	a	1m4	406	FreqP	N	1
10	a	1m4	407	hd4	N	1
10	a	1m4	531	Adv	N	1
10	a	1m4	531	hd5	N	1
10	a	1m4	359	hd3	N	1
10	a	1m4	406	DE	N	1
10	a	1m4	375	hd1	N	1
10	a	1m8	1610	VN	N	1
10	a	1m8	687	Det+CL	N	1
10	a	1m8	906	hd1	N	1
10	a	1m8	2110	hd2	N	1
